NThreads,Run,ExecutionTime
1,1,0.048355
1,2,0.048565
1,3,0.047543
1,4,0.048351
1,5,0.047169
1,6,0.048253
1,7,0.047752
1,8,0.047544
1,9,0.047717
1,10,0.050277
2,1,0.042550
2,2,0.030137
2,3,0.041474
2,4,0.036314
2,5,0.052311
2,6,0.039415
2,7,0.037064
2,8,0.040905
2,9,0.037553
2,10,0.028010
4,1,0.038111
4,2,0.025724
4,3,0.027488
4,4,0.038448
4,5,0.025088
4,6,0.030535
4,7,0.027602
4,8,0.029489
4,9,0.025100
4,10,0.029087
8,1,0.021140
8,2,0.021707
8,3,0.023110
8,4,0.020963
8,5,0.021941
8,6,0.021169
8,7,0.021423
8,8,0.024512
8,9,0.023472
8,10,0.022237
16,1,0.016963
16,2,0.020551
16,3,0.019226
16,4,0.014402
16,5,0.017160
16,6,0.014591
16,7,0.014786
16,8,0.015363
16,9,0.015838
16,10,0.016032
