N,NThreads,Run,ExecutionTime
128,10,2,0.003311
128,10,3,0.003033
128,10,4,0.003785
128,10,5,0.003303
128,10,6,0.003579
128,10,7,0.002942
128,10,8,0.003988
128,10,9,0.003249
128,11,0,0.003859
128,11,1,0.002967
128,11,2,0.003569
128,11,3,0.002897
128,11,4,0.002461
128,11,5,0.002577
128,11,6,0.002518
128,11,7,0.003852
128,11,8,0.003267
128,11,9,0.002840
128,12,0,0.002711
128,12,1,0.004043
128,12,2,0.002831
128,12,3,0.002582
128,12,4,0.002650
128,12,5,0.004119
128,12,6,0.003430
128,12,7,0.003366
128,12,8,0.002878
128,12,9,0.003621
128,13,0,0.003049
128,13,1,0.002571
128,13,2,0.002743
128,13,3,0.003620
128,13,4,0.002948
128,13,5,0.002534
128,13,6,0.002758
128,13,7,0.003083
128,13,8,0.003245
128,13,9,0.002810
128,14,0,0.002916
128,14,1,0.003446
128,14,2,0.002851
128,14,3,0.002494
128,14,4,0.003141
128,14,5,0.003454
128,14,6,0.002773
128,14,7,0.002659
128,14,8,0.002518
128,14,9,0.002858
128,15,0,0.002375
128,15,1,0.002402
128,15,2,0.002448
128,15,3,0.001982
128,15,4,0.002008
128,15,5,0.002254
128,15,6,0.001717
128,15,7,0.003141
128,15,8,0.002882
128,15,9,0.002966
128,16,0,0.003019
128,16,1,0.002955
128,16,2,0.002779
128,16,3,0.002653
128,16,4,0.002732
128,16,5,0.002747
128,16,6,0.002541
128,16,7,0.002112
128,16,8,0.002030
128,16,9,0.002040
256,1,0,0.012686
256,1,1,0.014486
256,1,2,0.013373
256,1,3,0.015166
256,1,4,0.015845
256,1,5,0.016109
256,1,6,0.016194
256,1,7,0.012001
256,1,8,0.016577
256,1,9,0.013798
256,2,0,0.018076
256,2,1,0.013134
256,2,2,0.015849
256,2,3,0.024133
256,2,4,0.015489
256,2,5,0.011629
256,2,6,0.007879
256,2,7,0.011353
256,2,8,0.017959
256,2,9,0.015299
256,3,0,0.014717
256,3,1,0.014885
256,3,2,0.015416
256,3,3,0.013087
256,3,4,0.010873
256,3,5,0.010922
256,3,6,0.006408
256,3,7,0.013117
256,3,8,0.014709
256,3,9,0.008290
256,4,0,0.011256
256,4,1,0.012339
256,4,2,0.012324
256,4,3,0.012655
256,4,4,0.011723
256,4,5,0.011555
256,4,6,0.012576
256,4,7,0.012101
256,4,8,0.011736
256,4,9,0.011949
256,5,0,0.006888
256,5,1,0.015879
256,5,2,0.009949
256,5,3,0.011773
256,5,4,0.009608
256,5,5,0.007217
256,5,6,0.014515
256,5,7,0.010071
256,5,8,0.011405
256,5,9,0.010095
256,6,0,0.009010
256,6,1,0.008216
256,6,2,0.014741
256,6,3,0.009540
256,6,4,0.010086
256,6,5,0.007660
256,6,6,0.009261
256,6,7,0.009379
256,6,8,0.010099
256,6,9,0.009247
256,7,0,0.008670
256,7,1,0.009514
256,7,2,0.009338
256,7,3,0.011910
256,7,4,0.011963
256,7,5,0.007636
256,7,6,0.009235
256,7,7,0.007325
256,7,8,0.011365
256,7,9,0.008356
256,8,0,0.008172
256,8,1,0.007549
256,8,2,0.010602
256,8,3,0.008057
256,8,4,0.007069
256,8,5,0.008632
256,8,6,0.008813
256,8,7,0.008045
256,8,8,0.005743
256,8,9,0.007288
256,9,0,0.007902
256,9,1,0.008040
256,9,2,0.007611
256,9,3,0.009774
256,9,4,0.010759
256,9,5,0.008005
256,9,6,0.005341
256,9,7,0.006849
256,9,8,0.007971
256,9,9,0.007405
256,10,0,0.008082
256,10,1,0.006970
256,10,2,0.009487
256,10,3,0.007795
256,10,4,0.005570
256,10,5,0.009907
256,10,6,0.006705
256,10,7,0.008268
256,10,8,0.006658
256,10,9,0.007375
256,11,0,0.009224
256,11,1,0.007235
256,11,2,0.005328
256,11,3,0.009410
256,11,4,0.007786
256,11,5,0.009525
256,11,6,0.007207
256,11,7,0.006837
256,11,8,0.007934
256,11,9,0.006571
256,12,0,0.005979
256,12,1,0.004832
256,12,2,0.005902
256,12,3,0.005180
256,12,4,0.005825
256,12,5,0.006611
256,12,6,0.006139
256,12,7,0.005957
256,12,8,0.006858
256,12,9,0.005897
256,13,0,0.009096
256,13,1,0.008806
256,13,2,0.006474
256,13,3,0.008558
256,13,4,0.006862
256,13,5,0.007605
256,13,6,0.006511
256,13,7,0.005638
256,13,8,0.006657
256,13,9,0.006582
256,14,0,0.006302
256,14,1,0.006460
256,14,2,0.006717
256,14,3,0.004249
256,14,4,0.006983
256,14,5,0.007451
256,14,6,0.008380
256,14,7,0.008127
256,14,8,0.006384
256,14,9,0.005935
256,15,0,0.005359
256,15,1,0.004945
256,15,2,0.004469
256,15,3,0.004301
256,15,4,0.003829
256,15,5,0.003794
256,15,6,0.004990
256,15,7,0.006461
256,15,8,0.005164
256,15,9,0.005290
256,16,0,0.004675
256,16,1,0.003848
256,16,2,0.003718
256,16,3,0.006744
256,16,4,0.006047
256,16,5,0.006649
256,16,6,0.006462
256,16,7,0.006348
256,16,8,0.004681
256,16,9,0.005694
512,1,0,0.047987
512,1,1,0.046763
512,1,2,0.046731
512,1,3,0.046910
512,1,4,0.046849
512,1,5,0.046288
512,1,6,0.046645
512,1,7,0.047483
512,1,8,0.045816
512,1,9,0.046509
512,2,0,0.036927
