NThreads,Run,ExecutionTime
1,1,0.003789
1,2,0.003779
1,3,0.003793
1,4,0.003782
1,5,0.002199
1,6,0.003774
1,7,0.003771
1,8,0.003785
1,9,0.003559
1,10,0.003399
2,1,0.002444
2,2,0.002818
2,3,0.002750
2,4,0.002400
2,5,0.002479
2,6,0.002561
2,7,0.002854
2,8,0.002933
2,9,0.002774
2,10,0.002682
4,1,0.001994
4,2,0.001980
4,3,0.001955
4,4,0.002068
4,5,0.001776
4,6,0.001944
4,7,0.001984
4,8,0.002048
4,9,0.002396
4,10,0.002019
8,1,0.002209
8,2,0.002084
8,3,0.001971
8,4,0.001992
8,5,0.001972
8,6,0.001988
8,7,0.002107
8,8,0.002133
8,9,0.002324
8,10,0.001973
16,1,0.002771
16,2,0.003291
16,3,0.002843
16,4,0.002839
16,5,0.002606
16,6,0.002855
16,7,0.002706
16,8,0.002455
16,9,0.002649
16,10,0.002588
