NThreads,Run,ExecutionTime
1,1,3.745434
1,2,3.697583
1,3,3.659127
1,4,3.822829
1,5,3.693343
1,6,3.706361
1,7,3.685696
1,8,3.720504
1,9,3.688614
1,10,3.705393
2,1,1.945769
2,2,1.929372
2,3,1.959401
2,4,2.149443
2,5,2.183728
2,6,1.932346
2,7,1.936907
2,8,1.937316
2,9,2.203110
2,10,2.009200
4,1,1.091743
4,2,1.102652
4,3,1.178608
4,4,1.180540
4,5,1.193259
4,6,1.062876
4,7,1.149314
4,8,1.142242
4,9,1.202520
4,10,1.185085
8,1,0.659827
8,2,0.661744
8,3,0.680026
8,4,0.675783
8,5,0.724543
8,6,0.674826
8,7,0.662709
8,8,0.675982
8,9,0.652902
8,10,0.674932
16,1,0.424431
16,2,0.420745
16,3,0.404741
16,4,0.412740
16,5,0.414227
16,6,0.404416
16,7,0.404663
16,8,0.417314
16,9,0.405629
16,10,0.410463
