NThreads,Run,ExecutionTime
1,1,0.010008
1,2,0.010558
1,3,0.008725
1,4,0.008253
1,5,0.010514
1,6,0.009881
1,7,0.006827
1,8,0.010357
1,9,0.008228
1,10,0.009460
2,1,0.007003
2,2,0.006522
2,3,0.007696
2,4,0.007336
2,5,0.006114
2,6,0.007519
2,7,0.007804
2,8,0.006817
2,9,0.006995
2,10,0.007087
4,1,0.004435
4,2,0.004767
4,3,0.004753
4,4,0.004309
4,5,0.004294
4,6,0.004593
4,7,0.004439
4,8,0.004376
4,9,0.004589
4,10,0.004168
8,1,0.003751
8,2,0.003928
8,3,0.004009
8,4,0.003918
8,5,0.003695
8,6,0.004015
8,7,0.003674
8,8,0.003857
8,9,0.003877
8,10,0.003679
16,1,0.004420
16,2,0.003730
16,3,0.003135
16,4,0.003614
16,5,0.003202
16,6,0.003302
16,7,0.003855
16,8,0.002854
16,9,0.002677
16,10,0.003583
