NThreads,Run,ExecutionTime
1,1,0.017404
1,2,0.016099
1,3,0.016787
1,4,0.017129
1,5,0.017230
1,6,0.015540
1,7,0.012408
1,8,0.016496
1,9,0.015232
1,10,0.016332
2,1,0.016336
2,2,0.016181
2,3,0.009275
2,4,0.010490
2,5,0.017351
2,6,0.016181
2,7,0.016401
2,8,0.017520
2,9,0.020559
2,10,0.016563
4,1,0.013712
4,2,0.013349
4,3,0.013498
4,4,0.012802
4,5,0.013233
4,6,0.013201
4,7,0.012381
4,8,0.012485
4,9,0.012097
4,10,0.011934
8,1,0.009051
8,2,0.009989
8,3,0.009024
8,4,0.008709
8,5,0.008593
8,6,0.008543
8,7,0.008841
8,8,0.008509
8,9,0.010492
8,10,0.008639
16,1,0.007936
16,2,0.009277
16,3,0.005053
16,4,0.004610
16,5,0.004578
16,6,0.006864
16,7,0.005664
16,8,0.006916
16,9,0.005460
16,10,0.004573
