NThreads,Run,ExecutionTime
1,1,0.196645
1,2,0.197118
1,3,0.196005
1,4,0.194927
1,5,0.196041
1,6,0.200623
1,7,0.201492
1,8,0.195887
1,9,0.197725
1,10,0.203291
2,1,0.116441
2,2,0.132440
2,3,0.118870
2,4,0.136414
2,5,0.132676
2,6,0.116481
2,7,0.132862
2,8,0.140247
2,9,0.134268
2,10,0.132423
4,1,0.080644
4,2,0.080129
4,3,0.085461
4,4,0.086416
4,5,0.081430
4,6,0.085000
4,7,0.088782
4,8,0.081899
4,9,0.078643
4,10,0.082925
8,1,0.056760
8,2,0.055948
8,3,0.056712
8,4,0.057695
8,5,0.052950
8,6,0.055849
8,7,0.055554
8,8,0.056245
8,9,0.054318
8,10,0.050266
16,1,0.042612
16,2,0.040383
16,3,0.041461
16,4,0.040700
16,5,0.040651
16,6,0.041422
16,7,0.040838
16,8,0.039974
16,9,0.043578
16,10,0.040874
